L,gm/Id,Ai
4.5e-07,1.19973,11.5582
4.5e-07,1.20103,11.5801
4.5e-07,1.20233,11.6021
4.5e-07,1.20364,11.6241
4.5e-07,1.20495,11.6462
4.5e-07,1.20626,11.6683
4.5e-07,1.20757,11.6904
4.5e-07,1.20889,11.7126
4.5e-07,1.21021,11.7348
4.5e-07,1.21153,11.757
4.5e-07,1.21285,11.7793
4.5e-07,1.21417,11.8017
4.5e-07,1.2155,11.824
4.5e-07,1.21682,11.8464
4.5e-07,1.21815,11.8689
4.5e-07,1.21949,11.8914
4.5e-07,1.22082,11.9139
4.5e-07,1.22216,11.9364
4.5e-07,1.22349,11.959
4.5e-07,1.22484,11.9817
4.5e-07,1.22618,12.0043
4.5e-07,1.22752,12.027
4.5e-07,1.22887,12.0498
4.5e-07,1.23022,12.0726
4.5e-07,1.23157,12.0954
4.5e-07,1.23292,12.1183
4.5e-07,1.23428,12.1412
4.5e-07,1.23563,12.1641
4.5e-07,1.23699,12.1871
4.5e-07,1.23836,12.2102
4.5e-07,1.23972,12.2332
4.5e-07,1.24109,12.2563
4.5e-07,1.24245,12.2795
4.5e-07,1.24382,12.3027
4.5e-07,1.2452,12.3259
4.5e-07,1.24657,12.3492
4.5e-07,1.24795,12.3725
4.5e-07,1.24933,12.3958
4.5e-07,1.25071,12.4192
4.5e-07,1.25209,12.4426
4.5e-07,1.25348,12.4661
4.5e-07,1.25487,12.4896
4.5e-07,1.25626,12.5132
4.5e-07,1.25765,12.5367
4.5e-07,1.25905,12.5604
4.5e-07,1.26044,12.5841
4.5e-07,1.26184,12.6078
4.5e-07,1.26324,12.6315
4.5e-07,1.26465,12.6553
4.5e-07,1.26605,12.6792
4.5e-07,1.26746,12.703
4.5e-07,1.26887,12.727
4.5e-07,1.27029,12.7509
4.5e-07,1.2717,12.7749
4.5e-07,1.27312,12.799
4.5e-07,1.27454,12.8231
4.5e-07,1.27596,12.8472
4.5e-07,1.27739,12.8714
4.5e-07,1.27881,12.8956
4.5e-07,1.28024,12.9198
4.5e-07,1.28167,12.9441
4.5e-07,1.28311,12.9685
4.5e-07,1.28454,12.9928
4.5e-07,1.28598,13.0173
4.5e-07,1.28742,13.0417
4.5e-07,1.28887,13.0663
4.5e-07,1.29031,13.0908
4.5e-07,1.29176,13.1154
4.5e-07,1.29321,13.1401
4.5e-07,1.29466,13.1647
4.5e-07,1.29612,13.1895
4.5e-07,1.29758,13.2142
4.5e-07,1.29904,13.239
4.5e-07,1.3005,13.2639
4.5e-07,1.30196,13.2888
4.5e-07,1.30343,13.3138
4.5e-07,1.3049,13.3387
4.5e-07,1.30637,13.3638
4.5e-07,1.30785,13.3889
4.5e-07,1.30932,13.414
4.5e-07,1.3108,13.4391
4.5e-07,1.31229,13.4644
4.5e-07,1.31377,13.4896
4.5e-07,1.31526,13.5149
4.5e-07,1.31675,13.5403
4.5e-07,1.31824,13.5656
4.5e-07,1.31973,13.5911
4.5e-07,1.32123,13.6166
4.5e-07,1.32273,13.6421
4.5e-07,1.32423,13.6677
4.5e-07,1.32574,13.6933
4.5e-07,1.32724,13.7189
4.5e-07,1.32875,13.7446
4.5e-07,1.33027,13.7704
4.5e-07,1.33178,13.7962
4.5e-07,1.3333,13.822
4.5e-07,1.33482,13.8479
4.5e-07,1.33634,13.8738
4.5e-07,1.33786,13.8998
4.5e-07,1.33939,13.9259
4.5e-07,1.34092,13.9519
4.5e-07,1.34245,13.9781
4.5e-07,1.34399,14.0042
4.5e-07,1.34553,14.0304
4.5e-07,1.34707,14.0567
4.5e-07,1.34861,14.083
4.5e-07,1.35016,14.1094
4.5e-07,1.3517,14.1358
4.5e-07,1.35326,14.1622
4.5e-07,1.35481,14.1887
4.5e-07,1.35637,14.2152
4.5e-07,1.35792,14.2418
4.5e-07,1.35949,14.2685
4.5e-07,1.36105,14.2952
4.5e-07,1.36262,14.3219
4.5e-07,1.36419,14.3487
4.5e-07,1.36576,14.3755
4.5e-07,1.36733,14.4024
4.5e-07,1.36891,14.4293
4.5e-07,1.37049,14.4563
4.5e-07,1.37207,14.4833
4.5e-07,1.37366,14.5104
4.5e-07,1.37525,14.5375
4.5e-07,1.37684,14.5647
4.5e-07,1.37843,14.5919
4.5e-07,1.38003,14.6191
4.5e-07,1.38163,14.6465
4.5e-07,1.38323,14.6738
4.5e-07,1.38484,14.7012
4.5e-07,1.38645,14.7287
4.5e-07,1.38806,14.7562
4.5e-07,1.38967,14.7838
4.5e-07,1.39129,14.8114
4.5e-07,1.39291,14.839
4.5e-07,1.39453,14.8668
4.5e-07,1.39615,14.8945
4.5e-07,1.39778,14.9223
4.5e-07,1.39941,14.9502
4.5e-07,1.40104,14.9781
4.5e-07,1.40268,15.0061
4.5e-07,1.40432,15.0341
4.5e-07,1.40596,15.0622
4.5e-07,1.40761,15.0903
4.5e-07,1.40925,15.1184
4.5e-07,1.4109,15.1467
4.5e-07,1.41256,15.1749
4.5e-07,1.41421,15.2033
4.5e-07,1.41587,15.2316
4.5e-07,1.41753,15.2601
4.5e-07,1.4192,15.2885
4.5e-07,1.42087,15.3171
4.5e-07,1.42254,15.3456
4.5e-07,1.42421,15.3743
4.5e-07,1.42589,15.403
4.5e-07,1.42757,15.4317
4.5e-07,1.42925,15.4605
4.5e-07,1.43094,15.4893
4.5e-07,1.43263,15.5182
4.5e-07,1.43432,15.5472
