L,gm/Id,Ai
4.5e-07,2.03336,18.4371
4.5e-07,2.03594,18.4819
4.5e-07,2.03852,18.5267
4.5e-07,2.04111,18.5716
4.5e-07,2.0437,18.6165
4.5e-07,2.0463,18.6615
4.5e-07,2.0489,18.7066
4.5e-07,2.05151,18.7517
4.5e-07,2.05412,18.7969
4.5e-07,2.05674,18.8422
4.5e-07,2.05936,18.8875
4.5e-07,2.06199,18.9329
4.5e-07,2.06462,18.9784
4.5e-07,2.06726,19.0239
4.5e-07,2.0699,19.0695
4.5e-07,2.07254,19.1152
4.5e-07,2.07519,19.1609
4.5e-07,2.07785,19.2067
4.5e-07,2.08051,19.2526
4.5e-07,2.08318,19.2985
4.5e-07,2.08585,19.3445
4.5e-07,2.08852,19.3905
4.5e-07,2.0912,19.4367
4.5e-07,2.09389,19.4829
4.5e-07,2.09658,19.5291
4.5e-07,2.09928,19.5755
4.5e-07,2.10198,19.6219
4.5e-07,2.10468,19.6683
4.5e-07,2.10739,19.7149
4.5e-07,2.11011,19.7615
4.5e-07,2.11283,19.8082
4.5e-07,2.11556,19.8549
4.5e-07,2.11829,19.9017
4.5e-07,2.12103,19.9486
4.5e-07,2.12377,19.9956
4.5e-07,2.12652,20.0426
4.5e-07,2.12927,20.0897
4.5e-07,2.13203,20.1368
4.5e-07,2.13479,20.1841
4.5e-07,2.13756,20.2314
4.5e-07,2.14033,20.2788
4.5e-07,2.14311,20.3262
4.5e-07,2.1459,20.3737
4.5e-07,2.14869,20.4213
4.5e-07,2.15148,20.469
4.5e-07,2.15428,20.5167
4.5e-07,2.15709,20.5645
4.5e-07,2.1599,20.6124
4.5e-07,2.16272,20.6604
4.5e-07,2.16554,20.7084
4.5e-07,2.16837,20.7565
4.5e-07,2.1712,20.8046
4.5e-07,2.17404,20.8529
4.5e-07,2.17689,20.9012
4.5e-07,2.17974,20.9496
4.5e-07,2.18259,20.9981
4.5e-07,2.18545,21.0466
4.5e-07,2.18832,21.0952
4.5e-07,2.19119,21.1439
4.5e-07,2.19407,21.1927
4.5e-07,2.19696,21.2415
4.5e-07,2.19985,21.2904
4.5e-07,2.20274,21.3394
4.5e-07,2.20565,21.3885
4.5e-07,2.20855,21.4376
4.5e-07,2.21147,21.4869
4.5e-07,2.21439,21.5362
4.5e-07,2.21731,21.5855
4.5e-07,2.22024,21.635
4.5e-07,2.22318,21.6845
4.5e-07,2.22612,21.7341
4.5e-07,2.22907,21.7838
4.5e-07,2.23203,21.8336
4.5e-07,2.23499,21.8834
4.5e-07,2.23796,21.9333
4.5e-07,2.24093,21.9833
4.5e-07,2.24391,22.0334
4.5e-07,2.24689,22.0835
4.5e-07,2.24989,22.1338
4.5e-07,2.25288,22.1841
4.5e-07,2.25589,22.2345
4.5e-07,2.2589,22.2849
4.5e-07,2.26191,22.3355
4.5e-07,2.26494,22.3861
4.5e-07,2.26796,22.4368
4.5e-07,2.271,22.4876
4.5e-07,2.27404,22.5385
4.5e-07,2.27709,22.5895
4.5e-07,2.28014,22.6405
4.5e-07,2.2832,22.6916
4.5e-07,2.28627,22.7428
4.5e-07,2.28934,22.7941
4.5e-07,2.29242,22.8454
4.5e-07,2.29551,22.8969
4.5e-07,2.2986,22.9484
4.5e-07,2.3017,23
4.5e-07,2.3048,23.0517
4.5e-07,2.30791,23.1035
4.5e-07,2.31103,23.1554
4.5e-07,2.31416,23.2073
4.5e-07,2.31729,23.2593
4.5e-07,2.32043,23.3115
4.5e-07,2.32357,23.3637
4.5e-07,2.32673,23.4159
4.5e-07,2.32988,23.4683
4.5e-07,2.33305,23.5208
