L,gm/Id,Vds_sat
4.5e-07,1.19973,0.607614
4.5e-07,1.20103,0.607275
4.5e-07,1.20233,0.606937
4.5e-07,1.20364,0.606598
4.5e-07,1.20495,0.60626
4.5e-07,1.20626,0.605921
4.5e-07,1.20757,0.605583
4.5e-07,1.20889,0.605245
4.5e-07,1.21021,0.604906
4.5e-07,1.21153,0.604568
4.5e-07,1.21285,0.60423
4.5e-07,1.21417,0.603891
4.5e-07,1.2155,0.603553
4.5e-07,1.21682,0.603215
4.5e-07,1.21815,0.602877
4.5e-07,1.21949,0.602539
4.5e-07,1.22082,0.6022
4.5e-07,1.22216,0.601862
4.5e-07,1.22349,0.601524
4.5e-07,1.22484,0.601186
4.5e-07,1.22618,0.600848
4.5e-07,1.22752,0.60051
4.5e-07,1.22887,0.600171
4.5e-07,1.23022,0.599833
4.5e-07,1.23157,0.599495
4.5e-07,1.23292,0.599157
4.5e-07,1.23428,0.598819
4.5e-07,1.23563,0.598481
4.5e-07,1.23699,0.598143
4.5e-07,1.23836,0.597805
4.5e-07,1.23972,0.597467
4.5e-07,1.24109,0.597129
4.5e-07,1.24245,0.596791
4.5e-07,1.24382,0.596453
4.5e-07,1.2452,0.596115
4.5e-07,1.24657,0.595777
4.5e-07,1.24795,0.59544
4.5e-07,1.24933,0.595102
4.5e-07,1.25071,0.594764
4.5e-07,1.25209,0.594426
4.5e-07,1.25348,0.594088
4.5e-07,1.25487,0.59375
4.5e-07,1.25626,0.593412
4.5e-07,1.25765,0.593074
4.5e-07,1.25905,0.592737
4.5e-07,1.26044,0.592399
4.5e-07,1.26184,0.592061
4.5e-07,1.26324,0.591723
4.5e-07,1.26465,0.591385
4.5e-07,1.26605,0.591048
4.5e-07,1.26746,0.59071
4.5e-07,1.26887,0.590372
4.5e-07,1.27029,0.590034
4.5e-07,1.2717,0.589697
4.5e-07,1.27312,0.589359
4.5e-07,1.27454,0.589021
4.5e-07,1.27596,0.588683
4.5e-07,1.27739,0.588346
4.5e-07,1.27881,0.588008
4.5e-07,1.28024,0.58767
4.5e-07,1.28167,0.587332
4.5e-07,1.28311,0.586995
4.5e-07,1.28454,0.586657
4.5e-07,1.28598,0.586319
4.5e-07,1.28742,0.585982
4.5e-07,1.28887,0.585644
4.5e-07,1.29031,0.585306
4.5e-07,1.29176,0.584969
4.5e-07,1.29321,0.584631
4.5e-07,1.29466,0.584293
4.5e-07,1.29612,0.583955
4.5e-07,1.29758,0.583618
4.5e-07,1.29904,0.58328
4.5e-07,1.3005,0.582942
4.5e-07,1.30196,0.582605
4.5e-07,1.30343,0.582267
4.5e-07,1.3049,0.581929
4.5e-07,1.30637,0.581592
4.5e-07,1.30785,0.581254
4.5e-07,1.30932,0.580916
4.5e-07,1.3108,0.580579
4.5e-07,1.31229,0.580241
4.5e-07,1.31377,0.579903
4.5e-07,1.31526,0.579566
4.5e-07,1.31675,0.579228
4.5e-07,1.31824,0.57889
4.5e-07,1.31973,0.578553
4.5e-07,1.32123,0.578215
4.5e-07,1.32273,0.577877
4.5e-07,1.32423,0.57754
4.5e-07,1.32574,0.577202
4.5e-07,1.32724,0.576864
4.5e-07,1.32875,0.576527
4.5e-07,1.33027,0.576189
4.5e-07,1.33178,0.575851
4.5e-07,1.3333,0.575513
4.5e-07,1.33482,0.575176
4.5e-07,1.33634,0.574838
4.5e-07,1.33786,0.5745
4.5e-07,1.33939,0.574163
4.5e-07,1.34092,0.573825
4.5e-07,1.34245,0.573487
4.5e-07,1.34399,0.573149
4.5e-07,1.34553,0.572812
4.5e-07,1.34707,0.572474
4.5e-07,1.34861,0.572136
4.5e-07,1.35016,0.571798
4.5e-07,1.3517,0.57146
4.5e-07,1.35326,0.571123
4.5e-07,1.35481,0.570785
4.5e-07,1.35637,0.570447
4.5e-07,1.35792,0.570109
4.5e-07,1.35949,0.569771
4.5e-07,1.36105,0.569433
4.5e-07,1.36262,0.569096
4.5e-07,1.36419,0.568758
4.5e-07,1.36576,0.56842
4.5e-07,1.36733,0.568082
4.5e-07,1.36891,0.567744
