L,gm/Id,Vds_sat
4.5e-07,2.03336,0.740695
4.5e-07,2.03594,0.739964
4.5e-07,2.03852,0.739234
4.5e-07,2.04111,0.738503
4.5e-07,2.0437,0.737772
4.5e-07,2.0463,0.737042
4.5e-07,2.0489,0.736311
4.5e-07,2.05151,0.735581
4.5e-07,2.05412,0.73485
4.5e-07,2.05674,0.73412
4.5e-07,2.05936,0.733389
4.5e-07,2.06199,0.732659
4.5e-07,2.06462,0.731928
4.5e-07,2.06726,0.731197
4.5e-07,2.0699,0.730467
4.5e-07,2.07254,0.729736
4.5e-07,2.07519,0.729006
4.5e-07,2.07785,0.728275
4.5e-07,2.08051,0.727545
4.5e-07,2.08318,0.726814
4.5e-07,2.08585,0.726084
4.5e-07,2.08852,0.725353
4.5e-07,2.0912,0.724623
4.5e-07,2.09389,0.723892
4.5e-07,2.09658,0.723162
4.5e-07,2.09928,0.722431
4.5e-07,2.10198,0.721701
4.5e-07,2.10468,0.72097
4.5e-07,2.10739,0.72024
4.5e-07,2.11011,0.719509
4.5e-07,2.11283,0.718779
4.5e-07,2.11556,0.718049
4.5e-07,2.11829,0.717318
4.5e-07,2.12103,0.716588
4.5e-07,2.12377,0.715857
4.5e-07,2.12652,0.715127
4.5e-07,2.12927,0.714396
4.5e-07,2.13203,0.713666
4.5e-07,2.13479,0.712935
4.5e-07,2.13756,0.712205
4.5e-07,2.14033,0.711474
4.5e-07,2.14311,0.710744
4.5e-07,2.1459,0.710014
4.5e-07,2.14869,0.709283
4.5e-07,2.15148,0.708553
4.5e-07,2.15428,0.707822
4.5e-07,2.15709,0.707092
4.5e-07,2.1599,0.706361
4.5e-07,2.16272,0.705631
4.5e-07,2.16554,0.7049
4.5e-07,2.16837,0.70417
4.5e-07,2.1712,0.70344
4.5e-07,2.17404,0.702709
4.5e-07,2.17689,0.701979
4.5e-07,2.17974,0.701248
4.5e-07,2.18259,0.700518
4.5e-07,2.18545,0.699787
4.5e-07,2.18832,0.699057
4.5e-07,2.19119,0.698327
4.5e-07,2.19407,0.697596
4.5e-07,2.19696,0.696866
4.5e-07,2.19985,0.696135
4.5e-07,2.20274,0.695405
4.5e-07,2.20565,0.694674
4.5e-07,2.20855,0.693944
4.5e-07,2.21147,0.693214
4.5e-07,2.21439,0.692483
4.5e-07,2.21731,0.691753
4.5e-07,2.22024,0.691022
4.5e-07,2.22318,0.690292
4.5e-07,2.22612,0.689561
4.5e-07,2.22907,0.688831
4.5e-07,2.23203,0.688101
4.5e-07,2.23499,0.68737
4.5e-07,2.23796,0.68664
4.5e-07,2.24093,0.685909
4.5e-07,2.24391,0.685179
4.5e-07,2.24689,0.684448
4.5e-07,2.24989,0.683718
4.5e-07,2.25288,0.682988
4.5e-07,2.25589,0.682257
4.5e-07,2.2589,0.681527
4.5e-07,2.26191,0.680796
4.5e-07,2.26494,0.680066
4.5e-07,2.26796,0.679335
4.5e-07,2.271,0.678605
4.5e-07,2.27404,0.677874
4.5e-07,2.27709,0.677144
4.5e-07,2.28014,0.676413
4.5e-07,2.2832,0.675683
4.5e-07,2.28627,0.674953
4.5e-07,2.28934,0.674222
4.5e-07,2.29242,0.673492
4.5e-07,2.29551,0.672761
4.5e-07,2.2986,0.672031
4.5e-07,2.3017,0.6713
4.5e-07,2.3048,0.67057
4.5e-07,2.30791,0.669839
4.5e-07,2.31103,0.669109
4.5e-07,2.31416,0.668378
4.5e-07,2.31729,0.667648
4.5e-07,2.32043,0.666917
4.5e-07,2.32357,0.666187
4.5e-07,2.32673,0.665456
4.5e-07,2.32988,0.664726
4.5e-07,2.33305,0.663995
4.5e-07,2.33622,0.663265
4.5e-07,2.3394,0.662534
4.5e-07,2.34259,0.661804
4.5e-07,2.34578,0.661073
4.5e-07,2.34898,0.660342
4.5e-07,2.35218,0.659612
4.5e-07,2.3554,0.658881
4.5e-07,2.35862,0.658151
4.5e-07,2.36184,0.65742
4.5e-07,2.36508,0.65669
4.5e-07,2.36832,0.655959
4.5e-07,2.37157,0.655229
4.5e-07,2.37482,0.654498
4.5e-07,2.37808,0.653767
4.5e-07,2.38135,0.653037
4.5e-07,2.38463,0.652306
4.5e-07,2.38791,0.651576
4.5e-07,2.3912,0.650845
4.5e-07,2.3945,0.650114
4.5e-07,2.39781,0.649384
4.5e-07,2.40112,0.648653
4.5e-07,2.40444,0.647923
4.5e-07,2.40777,0.647192
4.5e-07,2.4111,0.646461
4.5e-07,2.41445,0.645731
4.5e-07,2.4178,0.645
4.5e-07,2.42115,0.644269
4.5e-07,2.42452,0.643539
4.5e-07,2.42789,0.642808
4.5e-07,2.43127,0.642077
4.5e-07,2.43466,0.641347
4.5e-07,2.43805,0.640616
4.5e-07,2.44145,0.639885
4.5e-07,2.44486,0.639154
4.5e-07,2.44828,0.638424
4.5e-07,2.45171,0.637693
4.5e-07,2.45514,0.636962
4.5e-07,2.45858,0.636232
4.5e-07,2.46203,0.635501
4.5e-07,2.46548,0.63477
4.5e-07,2.46895,0.634039
4.5e-07,2.47242,0.633308
4.5e-07,2.4759,0.632578
4.5e-07,2.47939,0.631847
4.5e-07,2.48289,0.631116
4.5e-07,2.48639,0.630385
4.5e-07,2.4899,0.629655
4.5e-07,2.49342,0.628924
4.5e-07,2.49695,0.628193
4.5e-07,2.50049,0.627462
