L,gm/Id,Vgs
4.5e-07,1.19973,1.8
4.5e-07,1.20103,1.7991
4.5e-07,1.20233,1.7982
4.5e-07,1.20364,1.7973
4.5e-07,1.20495,1.7964
4.5e-07,1.20626,1.7955
4.5e-07,1.20757,1.7946
4.5e-07,1.20889,1.7937
4.5e-07,1.21021,1.7928
4.5e-07,1.21153,1.7919
4.5e-07,1.21285,1.791
4.5e-07,1.21417,1.7901
4.5e-07,1.2155,1.78919
4.5e-07,1.21682,1.78829
4.5e-07,1.21815,1.78739
4.5e-07,1.21949,1.78649
4.5e-07,1.22082,1.78559
4.5e-07,1.22216,1.78469
4.5e-07,1.22349,1.78379
4.5e-07,1.22484,1.78289
4.5e-07,1.22618,1.78199
4.5e-07,1.22752,1.78109
4.5e-07,1.22887,1.78019
4.5e-07,1.23022,1.77929
4.5e-07,1.23157,1.77839
4.5e-07,1.23292,1.77749
4.5e-07,1.23428,1.77659
4.5e-07,1.23563,1.77569
4.5e-07,1.23699,1.77479
4.5e-07,1.23836,1.77389
4.5e-07,1.23972,1.77299
4.5e-07,1.24109,1.77209
4.5e-07,1.24245,1.77119
4.5e-07,1.24382,1.77029
4.5e-07,1.2452,1.76938
4.5e-07,1.24657,1.76848
4.5e-07,1.24795,1.76758
4.5e-07,1.24933,1.76668
4.5e-07,1.25071,1.76578
4.5e-07,1.25209,1.76488
4.5e-07,1.25348,1.76398
4.5e-07,1.25487,1.76308
4.5e-07,1.25626,1.76218
4.5e-07,1.25765,1.76128
4.5e-07,1.25905,1.76038
4.5e-07,1.26044,1.75948
4.5e-07,1.26184,1.75858
4.5e-07,1.26324,1.75768
4.5e-07,1.26465,1.75678
4.5e-07,1.26605,1.75588
4.5e-07,1.26746,1.75498
4.5e-07,1.26887,1.75408
4.5e-07,1.27029,1.75318
4.5e-07,1.2717,1.75228
4.5e-07,1.27312,1.75138
4.5e-07,1.27454,1.75048
4.5e-07,1.27596,1.74957
4.5e-07,1.27739,1.74867
4.5e-07,1.27881,1.74777
4.5e-07,1.28024,1.74687
4.5e-07,1.28167,1.74597
4.5e-07,1.28311,1.74507
4.5e-07,1.28454,1.74417
4.5e-07,1.28598,1.74327
4.5e-07,1.28742,1.74237
4.5e-07,1.28887,1.74147
4.5e-07,1.29031,1.74057
4.5e-07,1.29176,1.73967
4.5e-07,1.29321,1.73877
4.5e-07,1.29466,1.73787
4.5e-07,1.29612,1.73697
4.5e-07,1.29758,1.73607
4.5e-07,1.29904,1.73517
4.5e-07,1.3005,1.73427
4.5e-07,1.30196,1.73337
4.5e-07,1.30343,1.73247
4.5e-07,1.3049,1.73157
