L,gm/Id,Vgs
4.5e-07,2.03336,1.8
4.5e-07,2.03594,1.7991
4.5e-07,2.03852,1.7982
4.5e-07,2.04111,1.7973
4.5e-07,2.0437,1.7964
4.5e-07,2.0463,1.7955
4.5e-07,2.0489,1.7946
4.5e-07,2.05151,1.7937
4.5e-07,2.05412,1.7928
4.5e-07,2.05674,1.7919
4.5e-07,2.05936,1.791
4.5e-07,2.06199,1.7901
4.5e-07,2.06462,1.78919
4.5e-07,2.06726,1.78829
4.5e-07,2.0699,1.78739
4.5e-07,2.07254,1.78649
4.5e-07,2.07519,1.78559
4.5e-07,2.07785,1.78469
4.5e-07,2.08051,1.78379
4.5e-07,2.08318,1.78289
4.5e-07,2.08585,1.78199
4.5e-07,2.08852,1.78109
4.5e-07,2.0912,1.78019
4.5e-07,2.09389,1.77929
4.5e-07,2.09658,1.77839
4.5e-07,2.09928,1.77749
4.5e-07,2.10198,1.77659
4.5e-07,2.10468,1.77569
4.5e-07,2.10739,1.77479
4.5e-07,2.11011,1.77389
4.5e-07,2.11283,1.77299
4.5e-07,2.11556,1.77209
4.5e-07,2.11829,1.77119
4.5e-07,2.12103,1.77029
4.5e-07,2.12377,1.76938
4.5e-07,2.12652,1.76848
4.5e-07,2.12927,1.76758
4.5e-07,2.13203,1.76668
4.5e-07,2.13479,1.76578
4.5e-07,2.13756,1.76488
4.5e-07,2.14033,1.76398
4.5e-07,2.14311,1.76308
4.5e-07,2.1459,1.76218
4.5e-07,2.14869,1.76128
4.5e-07,2.15148,1.76038
4.5e-07,2.15428,1.75948
4.5e-07,2.15709,1.75858
4.5e-07,2.1599,1.75768
4.5e-07,2.16272,1.75678
4.5e-07,2.16554,1.75588
4.5e-07,2.16837,1.75498
4.5e-07,2.1712,1.75408
4.5e-07,2.17404,1.75318
4.5e-07,2.17689,1.75228
4.5e-07,2.17974,1.75138
4.5e-07,2.18259,1.75048
4.5e-07,2.18545,1.74957
4.5e-07,2.18832,1.74867
4.5e-07,2.19119,1.74777
4.5e-07,2.19407,1.74687
4.5e-07,2.19696,1.74597
4.5e-07,2.19985,1.74507
4.5e-07,2.20274,1.74417
4.5e-07,2.20565,1.74327
4.5e-07,2.20855,1.74237
4.5e-07,2.21147,1.74147
4.5e-07,2.21439,1.74057
4.5e-07,2.21731,1.73967
4.5e-07,2.22024,1.73877
4.5e-07,2.22318,1.73787
4.5e-07,2.22612,1.73697
4.5e-07,2.22907,1.73607
4.5e-07,2.23203,1.73517
4.5e-07,2.23499,1.73427
4.5e-07,2.23796,1.73337
4.5e-07,2.24093,1.73247
4.5e-07,2.24391,1.73157
4.5e-07,2.24689,1.73067
4.5e-07,2.24989,1.72976
4.5e-07,2.25288,1.72886
4.5e-07,2.25589,1.72796
4.5e-07,2.2589,1.72706
4.5e-07,2.26191,1.72616
4.5e-07,2.26494,1.72526
4.5e-07,2.26796,1.72436
4.5e-07,2.271,1.72346
4.5e-07,2.27404,1.72256
4.5e-07,2.27709,1.72166
4.5e-07,2.28014,1.72076
4.5e-07,2.2832,1.71986
4.5e-07,2.28627,1.71896
4.5e-07,2.28934,1.71806
4.5e-07,2.29242,1.71716
4.5e-07,2.29551,1.71626
4.5e-07,2.2986,1.71536
4.5e-07,2.3017,1.71446
4.5e-07,2.3048,1.71356
4.5e-07,2.30791,1.71266
4.5e-07,2.31103,1.71176
4.5e-07,2.31416,1.71086
4.5e-07,2.31729,1.70995
4.5e-07,2.32043,1.70905
4.5e-07,2.32357,1.70815
4.5e-07,2.32673,1.70725
4.5e-07,2.32988,1.70635
4.5e-07,2.33305,1.70545
4.5e-07,2.33622,1.70455
4.5e-07,2.3394,1.70365
4.5e-07,2.34259,1.70275
4.5e-07,2.34578,1.70185
4.5e-07,2.34898,1.70095
4.5e-07,2.35218,1.70005
4.5e-07,2.3554,1.69915
