L,Id/W,gm/Id
4.5e-07,236.737,1.19973
4.5e-07,236.482,1.20103
4.5e-07,236.226,1.20233
4.5e-07,235.97,1.20364
4.5e-07,235.714,1.20495
4.5e-07,235.459,1.20626
4.5e-07,235.203,1.20757
4.5e-07,234.947,1.20889
4.5e-07,234.691,1.21021
4.5e-07,234.436,1.21153
4.5e-07,234.18,1.21285
4.5e-07,233.924,1.21417
4.5e-07,233.668,1.2155
4.5e-07,233.413,1.21682
4.5e-07,233.157,1.21815
4.5e-07,232.901,1.21949
4.5e-07,232.645,1.22082
4.5e-07,232.39,1.22216
4.5e-07,232.134,1.22349
4.5e-07,231.878,1.22484
4.5e-07,231.622,1.22618
4.5e-07,231.367,1.22752
4.5e-07,231.111,1.22887
4.5e-07,230.855,1.23022
4.5e-07,230.599,1.23157
4.5e-07,230.344,1.23292
4.5e-07,230.088,1.23428
4.5e-07,229.832,1.23563
4.5e-07,229.577,1.23699
4.5e-07,229.321,1.23836
4.5e-07,229.065,1.23972
4.5e-07,228.809,1.24109
4.5e-07,228.554,1.24245
4.5e-07,228.298,1.24382
4.5e-07,228.042,1.2452
4.5e-07,227.787,1.24657
4.5e-07,227.531,1.24795
4.5e-07,227.275,1.24933
4.5e-07,227.02,1.25071
4.5e-07,226.764,1.25209
4.5e-07,226.508,1.25348
4.5e-07,226.253,1.25487
4.5e-07,225.997,1.25626
4.5e-07,225.741,1.25765
4.5e-07,225.486,1.25905
4.5e-07,225.23,1.26044
4.5e-07,224.974,1.26184
4.5e-07,224.719,1.26324
4.5e-07,224.463,1.26465
4.5e-07,224.208,1.26605
4.5e-07,223.952,1.26746
4.5e-07,223.696,1.26887
4.5e-07,223.441,1.27029
4.5e-07,223.185,1.2717
4.5e-07,222.93,1.27312
4.5e-07,222.674,1.27454
4.5e-07,222.419,1.27596
4.5e-07,222.163,1.27739
4.5e-07,221.908,1.27881
4.5e-07,221.652,1.28024
4.5e-07,221.396,1.28167
4.5e-07,221.141,1.28311
4.5e-07,220.885,1.28454
4.5e-07,220.63,1.28598
4.5e-07,220.375,1.28742
4.5e-07,220.119,1.28887
4.5e-07,219.864,1.29031
4.5e-07,219.608,1.29176
4.5e-07,219.353,1.29321
4.5e-07,219.097,1.29466
4.5e-07,218.842,1.29612
4.5e-07,218.586,1.29758
4.5e-07,218.331,1.29904
4.5e-07,218.076,1.3005
4.5e-07,217.82,1.30196
4.5e-07,217.565,1.30343
4.5e-07,217.31,1.3049
4.5e-07,217.054,1.30637
4.5e-07,216.799,1.30785
4.5e-07,216.544,1.30932
4.5e-07,216.288,1.3108
4.5e-07,216.033,1.31229
4.5e-07,215.778,1.31377
4.5e-07,215.523,1.31526
4.5e-07,215.267,1.31675
4.5e-07,215.012,1.31824
4.5e-07,214.757,1.31973
4.5e-07,214.502,1.32123
