L,Id/W,gm/Id
4.5e-07,48.586,2.03336
4.5e-07,48.4971,2.03594
4.5e-07,48.4082,2.03852
4.5e-07,48.3194,2.04111
4.5e-07,48.2306,2.0437
4.5e-07,48.1419,2.0463
4.5e-07,48.0532,2.0489
4.5e-07,47.9646,2.05151
4.5e-07,47.876,2.05412
4.5e-07,47.7875,2.05674
4.5e-07,47.699,2.05936
4.5e-07,47.6106,2.06199
4.5e-07,47.5222,2.06462
4.5e-07,47.4339,2.06726
4.5e-07,47.3456,2.0699
4.5e-07,47.2574,2.07254
4.5e-07,47.1692,2.07519
4.5e-07,47.0811,2.07785
4.5e-07,46.993,2.08051
4.5e-07,46.905,2.08318
4.5e-07,46.8171,2.08585
4.5e-07,46.7292,2.08852
4.5e-07,46.6413,2.0912
4.5e-07,46.5535,2.09389
4.5e-07,46.4658,2.09658
4.5e-07,46.3781,2.09928
4.5e-07,46.2904,2.10198
4.5e-07,46.2028,2.10468
4.5e-07,46.1153,2.10739
4.5e-07,46.0278,2.11011
4.5e-07,45.9404,2.11283
4.5e-07,45.853,2.11556
4.5e-07,45.7657,2.11829
4.5e-07,45.6784,2.12103
4.5e-07,45.5912,2.12377
4.5e-07,45.504,2.12652
4.5e-07,45.4169,2.12927
4.5e-07,45.3299,2.13203
4.5e-07,45.2429,2.13479
4.5e-07,45.156,2.13756
4.5e-07,45.0691,2.14033
4.5e-07,44.9822,2.14311
4.5e-07,44.8955,2.1459
4.5e-07,44.8087,2.14869
4.5e-07,44.7221,2.15148
4.5e-07,44.6355,2.15428
4.5e-07,44.5489,2.15709
4.5e-07,44.4624,2.1599
4.5e-07,44.3759,2.16272
4.5e-07,44.2896,2.16554
4.5e-07,44.2032,2.16837
4.5e-07,44.1169,2.1712
4.5e-07,44.0307,2.17404
4.5e-07,43.9446,2.17689
4.5e-07,43.8584,2.17974
4.5e-07,43.7724,2.18259
4.5e-07,43.6864,2.18545
4.5e-07,43.6004,2.18832
4.5e-07,43.5146,2.19119
4.5e-07,43.4287,2.19407
4.5e-07,43.343,2.19696
4.5e-07,43.2572,2.19985
4.5e-07,43.1716,2.20274
4.5e-07,43.086,2.20565
4.5e-07,43.0004,2.20855
4.5e-07,42.915,2.21147
4.5e-07,42.8295,2.21439
4.5e-07,42.7442,2.21731
4.5e-07,42.6588,2.22024
4.5e-07,42.5736,2.22318
4.5e-07,42.4884,2.22612
4.5e-07,42.4033,2.22907
4.5e-07,42.3182,2.23203
4.5e-07,42.2331,2.23499
4.5e-07,42.1482,2.23796
4.5e-07,42.0633,2.24093
4.5e-07,41.9784,2.24391
4.5e-07,41.8936,2.24689
4.5e-07,41.8089,2.24989
